主文/留言,作者,時間,標題,內容
主文,中國醫藥大學,2022/2/27 15:18,怎麼開始自立自強,"如題，跟爸爸媽媽說好，20歲開始自立自強，所有的學費跟生活費由我自己負擔。下個月要滿19歲了，所以我希望可以盡早規劃好金錢，以後才可以支付昂貴的學費給這間店
先提一下目前的收入只有每個月生活費1萬，存款可以算0（買平板+駕訓班剛剛好花完了）。
座標北港，因為實在太偏僻了，當家教也沒有人要，學校的校內打工這學期因為排班撞課所以沒有上，大一就沒有任何其他的收入。
目前這學期有申請開通基富通的帳戶，想從每個月存3000元的基金開始（考慮的是安聯的台灣科技基金），並開始研究投資，然後等大二回台中後再去找打工開源
這學期每個月金錢的安排如下
3000買基金，2000車錢、5000其他
如果是以20歲為分水嶺的話，我應該要大三才會開始自己付學費，但是我媽的脾氣也是很奇怪，我拿不準是大二下還是大三開始（現在就已經有成績不達標不付的機制了所以我不敢問），因此我希望要在明年的這個時候存到至少10萬（每個月3000+下半年的打工不知道行不行）
存款預計需要支付一個學期的學費6萬+宿舍費2萬（出去租屋就是押金不知道多少）
等自己開始自立自強之後（假設收入22K），1萬定存、6000租屋、6000生活，定存剛好一個學期清空一次去繳學費
想問問看各位，現階段我還能做什麼讓我大二可以更輕鬆？然後對於未來金錢的規劃有何建議？我看到10萬覺得好害怕但是想想好像也不是不可能
學貸的部分目前不是很想考慮，因為最後還是會變成媽媽付錢（大一考慮過，最後還是媽媽付）而且會變成一個我們兩個不愉快未爆彈，除非萬不得已不然暫時不考慮
另外打工大概多久以前要開始找？一開始如果就去當便利商店或是手搖飲店員可以嗎？
家教的部分，因為成績不是很好，如果以非直轄市第二志願的學歷（這樣形容感覺會被認出來笑死）+會考成績，去收國小國中的學生會不會找不到？我看家教社團的人都是大神我好怕
（學測考超級爆炸爛也沒有指考，只能直接放棄放學測成績）
謝謝看到這裡嗚嗚嗚嗚"
留言,國立臺灣大學,2022/2/27 16:20,怎麼開始自立自強,"關於家教的部分，我認為即使學歷沒有很好，若有教學經驗也還是有可能接到的。
如果未來有打算長期將家教當成收入來源的話，可以先從門檻較低的補習班解題老師、一對一講師做起（當然薪水可能只有一般時薪），有了一段經驗後，再將經驗放在履歷上作為加分點，這樣會更容易被家長選中。
我認為只要教學能力不愧對學生和學生家長的話，家教是一個很好的收入來源，尤其是對時間不多卻必須負擔較高額費用的學生來說。
要開始負擔自己的各種費用真的會比較辛苦，希望以上能稍微幫到你，有問題可以再問我，加油！"
留言,義守大學,2022/2/27 16:55,怎麼開始自立自強,"學貸為什麼會變成媽媽繳
不是可以延長到畢業後一年才繳嗎
這樣你現階段也有錢可以拿去投資
也不用壓力那麼大"
留言,中原大學,2022/2/27 18:08,怎麼開始自立自強,"我覺得家教跟2樓講的一樣，不一定要學歷好才能教，像敝校就不屬於高學歷學校，但還是有很多人在接家教，而且我認為會「讀」跟會「教」是兩回事。
至於打工的話，在我身邊認識的大多都是接補習班櫃檯、改考卷這類的比較多，壓力也相對較小。我認為比飲料店還要好，我認識在飲料店打工的做的要死要活，雖然領的比較多，但這些錢最後還是花在暑修上，但如果可以hold 住的話也是一個選擇。
然後你是有在邊上課邊打工的話，一個月薪水基本上是不會到2萬的，通常有1萬就算多了。
打工推薦：校內>家教、補習班>服務業（沒餐飲的）> 餐飲 
看你的樣子好像是急著湊錢，但在我的認知中，學貸跟3樓講的一樣是可以畢業後再繳錢的，所以要不要去確認一下學貸那邊，有沒有方法讓你壓力不會那麼大。
最後要告訴你，該花的錢還是得話不要都省著不花，然後在健康及伙食上要照顧好自己，不然以後身體出問題，你現在賺的錢就是花在醫藥費上！
我也在努力存錢，一起加油吧
然後朝天宮前面的勝和商行蠶豆跟附近的鴨肉都很好吃，有機會也去吃吃看吧"
留言,Taron,2022/2/27 23:45,怎麼開始自立自強,中指通？
留言,國立成功大學,2022/2/28 06:14,怎麼開始自立自強,"你想找什麼工作一個月22k？
最低時薪168的話你一個禮拜至少要做30小時以上喔
我是覺得你這樣不可能有時間讀書啦"
留言,中原大學,2022/2/28 07:01,怎麼開始自立自強,"不然相信家裡，學費及生活費先給家裡出，以後再還。 至於打工錢就買基金，以後要還家裡錢也比較容易。
好下次一定去吃"
留言,高雄醫學大學,2022/2/28 08:56,怎麼開始自立自強,"我大三開始家教，只有幾個小小的建議想跟妳分享。
如果是初入家教業，自覺找工作很困難，可以先去做補習班洗履歷，後續找收費合理的家教仲介，仲介可以幫忙節省接洽工作的時間，等履歷漸漸豐富就可以不經由仲介直接在人力銀行丟履歷，除此之外妳可以試著準備自己的教材，對家長來說也是一個加分項目。
我最初在補習班做了近一年，遇到了很小氣的老闆，工作四小時只發三小時的薪水，而且明明是授課老師時薪卻僅有150，但我咬著牙做下去了，因為補習班的資源很多，我一直在努力累積手上的國中小教材、練習卷和考卷。後來利用這份工作的經歷，脫離補習班後陸續接了幾名時薪350的國小生，再後來是數名時薪400的國一二生、時薪500的國三生，一名時薪600的高中生，累積了不少勇氣後，甚至接了本科系的國考科（時薪1000）。然後再補充一點，寒暑假和國定假日是賺錢黃金時間，有些家長甚至希望我能天天去上課幫他們省去監督孩子的麻煩。
上述的價碼自然是比不上台北的收費，但高雄物價本就相對低，倒也能存不少錢，只能說要珍惜每個教學經驗，不要虛度你的光陰，收費自然可以水漲船高。
我畢業前半工半讀每月工作60小時（月入38-46k不定），半年內就存到了十萬以上，所以妳的目標確實可行，但要足夠努力經營自己的履歷。我現在剛畢業沒多久基富通投資近20萬，以南部收入和工作時數來說家教確實是一份投資報酬率很高的工作，相信妳一定也可以。"
留言,僑光科技大學,2022/2/28 10:47,怎麼開始自立自強,"你還是靠家裡等大學畢業就好
這種幸福的時刻要好好珍惜"
留言,正修科技大學,2022/2/28 16:58,怎麼開始自立自強,"餐飲業的PT也可以考慮吧
跟老闆談好上課時間就好了時間比較彈性
照你這樣說現在就可以找工作了
我目前大二高中畢業的暑假我就開始打工了
現階段沒錢還要繳學費就暫時不要考慮投資
錢投進去需要現金怎麼辦？
而且你要出去租屋自己住6000的生活費
不太夠"
