"日期","收市","開市","高","低","成交量","更改%"
"2022年3月31日","17,693.47","17,754.10","17,767.81","17,682.53","3.42B","-0.27%"
"2022年3月30日","17,740.56","17,572.90","17,770.07","17,572.90","3.74B","1.09%"
"2022年3月29日","17,548.66","17,568.32","17,585.91","17,493.01","3.43B","0.16%"
"2022年3月28日","17,520.01","17,510.15","17,527.15","17,368.66","3.20B","-0.89%"
"2022年3月25日","17,676.95","17,695.80","17,747.13","17,633.86","3.87B","-0.12%"
"2022年3月24日","17,699.06","17,711.17","17,711.17","17,603.22","3.88B","-0.18%"
"2022年3月23日","17,731.37","17,581.62","17,738.69","17,581.62","3.95B","0.98%"
"2022年3月22日","17,559.71","17,512.41","17,573.29","17,468.55","3.45B","-0.00%"
"2022年3月21日","17,560.36","17,503.95","17,603.99","17,503.95","3.70B","0.59%"
"2022年3月18日","17,456.52","17,439.91","17,472.38","17,359.50","4.98B","0.05%"
"2022年3月17日","17,448.22","17,172.81","17,472.95","17,172.81","5.03B","3.00%"
"2022年3月16日","16,940.83","17,007.58","17,085.77","16,808.43","4.85B","0.09%"
"2022年3月15日","16,926.06","17,177.27","17,177.27","16,911.95","4.14B","-1.95%"
"2022年3月14日","17,263.04","17,287.90","17,363.04","17,217.58","3.43B","-0.01%"
"2022年3月11日","17,264.74","17,373.82","17,373.90","17,239.90","3.11B","-0.97%"
"2022年3月10日","17,433.20","17,224.73","17,478.43","17,224.73","4.49B","2.46%"
"2022年3月9日","17,015.36","16,944.08","17,072.74","16,944.08","3.96B","1.13%"
"2022年3月8日","16,825.25","17,000.00","17,113.67","16,764.78","5.88B","-2.06%"
"2022年3月7日","17,178.69","17,581.57","17,581.57","17,135.68","5.83B","-3.15%"
"2022年3月4日","17,736.52","17,845.01","17,845.01","17,710.54","4.42B","-1.10%"
"2022年3月3日","17,934.40","17,932.15","18,026.03","17,906.24","4.01B","0.37%"
"2022年3月2日","17,867.60","17,864.11","17,918.98","17,784.64","4.01B","-0.17%"
"2022年3月1日","17,898.25","17,657.50","17,944.50","17,657.50","4.58B","1.39%"
"2022年2月25日","17,652.18","17,617.36","17,737.32","17,554.97","5.03B","0.33%"
"2022年2月24日","17,594.55","17,939.53","17,939.53","17,561.07","6.00B","-2.55%"
"2022年2月23日","18,055.73","17,954.75","18,109.28","17,954.75","3.71B","0.48%"
"2022年2月22日","17,969.29","18,159.51","18,159.51","17,840.38","5.06B","-1.38%"
"2022年2月21日","18,221.49","18,196.40","18,253.10","18,129.65","4.49B","-0.06%"
"2022年2月18日","18,232.35","18,250.37","18,262.96","18,098.52","4.87B","-0.20%"
"2022年2月17日","18,268.57","18,213.30","18,330.63","18,190.24","5.12B","0.20%"
"2022年2月16日","18,231.47","18,109.17","18,233.79","18,109.17","3.82B","1.56%"
"2022年2月15日","17,951.81","17,978.44","18,085.91","17,942.68","3.61B","-0.25%"
"2022年2月14日","17,997.67","18,182.73","18,182.73","17,965.22","3.59B","-1.71%"
"2022年2月11日","18,310.94","18,258.81","18,310.94","18,191.75","3.54B","-0.15%"
"2022年2月10日","18,338.05","18,217.29","18,338.05","18,145.04","3.62B","1.03%"
"2022年2月9日","18,151.76","18,060.33","18,168.60","18,039.23","3.90B","1.03%"
"2022年2月8日","17,966.56","17,955.95","18,063.55","17,955.95","4.04B","0.37%"
"2022年2月7日","17,900.30","17,750.70","17,900.30","17,712.35","3.97B","1.28%"
"2022年1月26日","17,674.40","17,657.97","17,776.42","17,633.03","2.90B","-0.15%"
"2022年1月25日","17,701.12","17,890.71","17,890.71","17,645.66","3.51B","-1.60%"
"2022年1月24日","17,989.04","17,843.33","18,004.45","17,682.33","3.59B","0.50%"
"2022年1月21日","17,899.30","18,113.94","18,113.94","17,851.39","4.16B","-1.75%"
"2022年1月20日","18,218.28","18,212.26","18,292.14","18,125.20","3.21B","-0.05%"
"2022年1月19日","18,227.46","18,275.18","18,359.14","18,199.35","3.42B","-0.82%"
"2022年1月18日","18,378.64","18,492.81","18,575.41","18,378.64","3.16B","-0.79%"
"2022年1月17日","18,525.44","18,512.15","18,535.42","18,435.02","3.17B","0.66%"
"2022年1月14日","18,403.33","18,509.00","18,509.00","18,213.44","4.56B","-0.18%"
"2022年1月13日","18,436.93","18,356.21","18,459.73","18,346.81","4.60B","0.33%"
"2022年1月12日","18,375.40","18,348.39","18,394.70","18,255.38","4.20B","0.48%"
"2022年1月11日","18,288.21","18,266.54","18,293.53","18,135.43","4.69B","0.27%"
"2022年1月10日","18,239.38","18,095.39","18,243.26","18,043.97","3.44B","0.38%"
"2022年1月7日","18,169.76","18,388.16","18,444.12","18,134.41","4.73B","-1.08%"
"2022年1月6日","18,367.92","18,395.72","18,427.15","18,253.82","3.41B","-0.71%"
"2022年1月5日","18,499.96","18,598.13","18,619.61","18,446.52","4.26B","-0.14%"
"2022年1月4日","18,526.35","18,395.14","18,526.35","18,395.14","4.23B","1.40%"
"2022年1月3日","18,270.51","18,260.23","18,379.69","18,238.47","4.31B","0.28%"
"2021年12月30日","18,218.84","18,270.00","18,291.25","18,216.45","4.08B","-0.16%"
"2021年12月29日","18,248.28","18,209.14","18,283.25","18,192.86","3.98B","0.28%"
"2021年12月28日","18,196.81","18,099.71","18,197.36","18,099.71","3.90B","0.82%"
"2021年12月27日","18,048.94","17,975.41","18,099.78","17,975.41","3.70B","0.49%"
"2021年12月24日","17,961.64","17,966.35","18,039.85","17,953.57","3.83B","0.08%"
"2021年12月23日","17,946.66","17,855.78","17,960.99","17,855.78","3.85B","0.67%"
"2021年12月22日","17,826.83","17,805.74","17,870.16","17,799.72","3.54B","0.21%"
"2021年12月21日","17,789.27","17,686.84","17,825.89","17,652.32","3.56B","0.68%"
"2021年12月20日","17,669.11","17,812.81","17,812.81","17,646.39","3.80B","-0.81%"
"2021年12月17日","17,812.59","17,744.54","17,822.74","17,718.27","5.15B","0.15%"
"2021年12月16日","17,785.74","17,719.06","17,814.32","17,719.06","4.32B","0.71%"
"2021年12月15日","17,660.10","17,592.87","17,678.78","17,556.87","3.77B","0.35%"
"2021年12月14日","17,599.37","17,754.38","17,754.38","17,566.99","4.87B","-0.95%"
"2021年12月13日","17,767.60","17,841.03","17,919.35","17,767.60","4.80B","-0.33%"
"2021年12月10日","17,826.26","17,893.29","17,893.29","17,767.80","4.63B","-0.49%"
"2021年12月9日","17,914.12","17,880.41","17,925.12","17,807.12","5.27B","0.46%"
"2021年12月8日","17,832.42","17,845.06","17,988.88","17,832.42","5.27B","0.20%"
"2021年12月7日","17,796.92","17,734.19","17,796.92","17,642.32","5.42B","0.61%"
"2021年12月6日","17,688.21","17,650.67","17,763.42","17,585.95","3.85B","-0.05%"
"2021年12月3日","17,697.14","17,720.93","17,781.14","17,670.32","4.40B","-0.16%"
"2021年12月2日","17,724.88","17,575.91","17,741.55","17,559.44","4.99B","0.79%"
"2021年12月1日","17,585.99","17,428.61","17,626.21","17,374.59","4.22B","0.91%"
