"日期","收市","開市","高","低","成交量","更改%"
"2022年3月31日","23.47","22.00","23.60","21.75","63.13K","6.34%"
"2022年3月30日","22.07","21.85","22.85","21.54","51.78K","1.46%"
"2022年3月29日","21.75","23.04","23.15","21.55","66.45K","-5.40%"
"2022年3月28日","22.99","23.55","24.80","22.90","64.65K","-1.96%"
"2022年3月25日","23.46","24.25","24.71","23.40","64.30K","-3.34%"
"2022年3月24日","24.27","25.15","25.20","24.05","52.04K","-2.52%"
"2022年3月23日","24.89","25.00","25.80","24.80","61.68K","-0.43%"
"2022年3月22日","25.00","25.40","25.95","24.70","49.93K","-1.90%"
"2022年3月21日","25.48","25.70","26.45","24.78","63.76K","-0.62%"
"2022年3月18日","25.64","27.50","27.95","25.50","64.76K","-5.44%"
"2022年3月17日","27.11","27.30","28.10","26.68","59.26K","-1.55%"
"2022年3月16日","27.54","30.20","30.65","27.34","86.55K","-14.68%"
"2022年3月15日","32.28","31.62","33.40","31.20","3.28K","1.50%"
"2022年3月14日","31.80","30.50","32.90","29.59","42.08K","2.58%"
"2022年3月11日","31.00","30.40","31.10","28.45","63.12K","1.93%"
"2022年3月10日","30.42","31.80","33.43","30.15","-","-5.30%"
"2022年3月9日","32.12","34.20","34.35","31.05","57.71K","-5.30%"
"2022年3月8日","33.92","34.80","36.50","32.04","-","-2.56%"
"2022年3月7日","34.81","32.85","34.94","31.40","-","10.41%"
"2022年3月4日","31.53","29.75","33.20","29.70","93.30K","5.42%"
"2022年3月3日","29.91","29.92","30.90","28.80","67.82K","0.98%"
"2022年3月2日","29.61","31.75","32.85","29.35","-","-7.81%"
"2022年3月1日","32.12","28.70","32.61","28.13","-","12.26%"
"2022年2月28日","28.62","29.50","31.10","28.04","-","4.99%"
"2022年2月25日","27.26","28.79","30.44","26.82","96.07K","-4.52%"
"2022年2月24日","28.55","29.80","34.05","28.44","144.48K","-3.78%"
"2022年2月23日","29.67","27.82","29.82","26.68","95.76K","6.11%"
"2022年2月22日","27.96","28.35","30.30","26.75","128.72K","-4.83%"
"2022年2月21日","29.38","28.83","29.98","26.78","-","2.08%"
"2022年2月20日","28.78","28.38","28.88","28.38","-","2.24%"
"2022年2月18日","28.15","27.60","28.85","26.25","94.57K","2.10%"
"2022年2月17日","27.57","24.55","27.80","24.28","113.09K","4.54%"
"2022年2月16日","26.37","25.80","26.30","24.70","1.05K","3.89%"
"2022年2月15日","25.38","28.25","28.80","25.22","57.75K","-10.42%"
"2022年2月14日","28.34","27.16","29.48","26.98","88.31K","1.88%"
"2022年2月11日","27.81","24.20","29.70","23.70","119.51K","14.85%"
"2022年2月10日","24.22","21.35","24.95","21.25","103.48K","14.48%"
"2022年2月9日","21.16","22.35","22.38","21.10","62.67K","-5.18%"
"2022年2月8日","22.31","23.45","23.91","22.20","63.22K","-5.67%"
"2022年2月7日","23.65","24.30","24.70","22.85","65.48K","-2.51%"
"2022年2月4日","24.26","24.10","26.10","23.32","109.01K","-5.71%"
"2022年2月3日","25.73","23.05","25.85","23.03","130.30K","16.82%"
"2022年2月2日","22.03","22.80","23.35","21.95","91.19K","-3.16%"
"2022年2月1日","22.75","24.85","25.15","22.60","89.92K","-8.48%"
"2022年1月31日","24.85","26.95","27.94","24.75","95.95K","-7.52%"
"2022年1月28日","26.87","28.00","30.10","26.55","103.71K","-6.77%"
"2022年1月27日","28.83","28.40","30.70","26.45","129.07K","0.68%"
"2022年1月26日","28.63","29.20","29.45","25.45","149.61K","1.66%"
"2022年1月25日","28.16","28.05","31.15","27.21","158.71K","0.34%"
"2022年1月24日","28.07","27.25","33.10","26.15","273.44K","2.78%"
"2022年1月21日","27.31","25.50","27.60","24.90","193.94K","9.38%"
"2022年1月20日","24.97","24.00","25.88","22.40","105.91K","9.55%"
"2022年1月19日","22.79","22.45","23.50","21.70","1.25K","0.75%"
"2022年1月18日","22.62","19.70","22.90","19.45","79.85K","3.62%"
"2022年1月17日","21.83","21.88","22.18","21.68","-","0.00%"
"2022年1月16日","21.83","19.68","21.83","19.68","-","11.00%"
"2022年1月14日","19.67","20.50","21.60","19.57","83.75K","-3.67%"
"2022年1月13日","20.42","18.70","20.63","18.25","69.67K","9.88%"
"2022年1月12日","18.58","19.00","19.20","18.15","77.26K","-1.97%"
