主文/留言,作者,時間,標題,推/噓,內容
主文,spotting (一起旅行吧),2022/2/28 18:00,[討論] 請問大家現在會進場東歐基金嗎?,無,"大家好
我原本有買霸菱東歐  這支在過去績效還不錯
不過後來帳戶被扣3次沒扣到錢  被銀行永久停扣
現在俄羅斯戰爭 剛一查這支基金的淨值 狂瀉到58
原本想要趁這時買入,可是霸菱東歐現在已經下架無法申購
請問還有別支類似的基金嗎?
大家會趁現在進場東歐基金嗎?"
回覆,icelaw,2022/2/28 18:00,[討論] 請問大家現在會進場東歐基金嗎?,無,你知道為什麼會暫停申購嗎
回覆,GOYOUR,2022/2/28 21:25,[討論] 請問大家現在會進場東歐基金嗎?,無,都禁買賣了 直接住套房
回覆,tudaer,2022/3/1 00:02,[討論] 請問大家現在會進場東歐基金嗎?,無,抄底是在短期波動但本質不變，本質變了（單一國家引起戰爭且切斷國外聯繫），就要看自己怎麼想了
回覆,tlnrs,2022/3/1 09:49,[討論] 請問大家現在會進場東歐基金嗎?,無,錢都出不來了，你怎麼會想進去?
回覆,candyrain821,2022/3/1 10:09,[討論] 請問大家現在會進場東歐基金嗎?,推,講錯，是匯豐不是瑞銀
回覆,yamitis,2022/3/1 12:52,[討論] 請問大家現在會進場東歐基金嗎?,推,有些基金是買ADR，所以還能申購
回覆,gongn,2022/3/1 16:06,[討論] 請問大家現在會進場東歐基金嗎?,推,已經申請定期定額的還會扣款嗎，真的看不懂
回覆,totoyy520,2022/3/1 17:48,[討論] 請問大家現在會進場東歐基金嗎?,推," https://i.imgur.com/ipFPeyG.jpg 我的法巴俄羅斯不能申購也不能贖回
三、 申購及轉入交易：上述基金不接受台灣投資人之申請交易，已進入扣款流程之定期定額及後續交易可能因基金暫停交易之因素受到影響。
四、贖回及轉出交易：境外基金機構目前並未通知有基金暫停交易之情形，惟考量當前相關金融市場之高度不確定性因素，尚待交割贖回或轉出之交易及相關款項仍可能受到重大之影響，如有延遲情形將依公開說明書規定辦理。先鋒基金寄給我的信"
回覆,gongn,2022/3/1 19:59,[討論] 請問大家現在會進場東歐基金嗎?,推,謝謝樓上分享
回覆,TaiwanNeko,2022/3/1 21:59,[討論] 請問大家現在會進場東歐基金嗎?,推,哈哈，我買法巴兩筆，一筆742點那天，一筆936點那天後來第三筆就被取消交易了
回覆,gongn,2022/3/3 10:42,[討論] 請問大家現在會進場東歐基金嗎?,推,我是摩根俄羅斯3/1扣錢，隔天錢又退回來了
主文,hcarly (以後只剩好日子),2022/2/28 09:57,[問題] 請問各位如何看黃金基金,無,"是這樣的
我有一筆在20年不小心買在高點的貝萊德黃金
本來想說那就慢慢放著沒關係等景氣循環
誰知戰爭突然就來了，一下回升不少
但帳面還是負的，然後烏俄好像就要ending了
想請問大家，你們會覺得：
就只能這樣了，小虧已經很好了，趕快贖回轉去別的標的
還是繼續放著，反正要升息了？
謝謝"
回覆,teacherDA,2022/2/28 10:59,[問題] 請問各位如何看黃金基金,無,好恐怖 放20年還是負的
回覆,icelaw,2022/2/28 10:59,好恐怖 放20年還是負的,推,內扣高也有關係 想買黃金不如直接去買黃金存摺
回覆,popolili,2022/2/28 11:28,[問題] 請問各位如何看黃金基金,無,你可以思考機會成本，如果現在賣掉拿去買其他商品，那個賺錢機會比較大畢竟這問題只要讓錢待在市場永遠都存在，自己想通比賠錢賺錢還重要
回覆,hcarly,2022/2/28 11:28,[問題] 請問各位如何看黃金基金,無,一樓：我打的讓你誤會了 是2020年啦！謝謝2、3樓  尤其這一波看下來真的覺得基金跟著gdx 走真的有夠虧 我會好好思考機會成本的
回覆,dobedobedo,2022/2/28 11:28,"一樓：我打的讓你誤會了 是2020年啦！
謝謝2、3樓，尤其這一波看下來真的覺得基金跟著gdx 走真的有夠虧，我會好好思考機會成本的",推,我建議把貝萊德黃金的錢拿去買GLD
回覆,ilovemaybe,2022/3/2 15:33,[問題] 請問各位如何看黃金基金,推,你在低點一定沒去攤
回覆,zhangweil,2022/3/7 10:43,[問題] 請問各位如何看黃金基金,無,我也是看貝萊德看的好辛苦 金價飆它居然沒什麼動
回覆,hsu30228,2022/3/7 10:43,我也是看貝萊德看的好辛苦 金價飆她居然沒什麼動,推,我比較困惑現在進場ok嗎？之前有人感恩我說已經在高點了，建議先不要進場
回覆,Seals,2022/3/10 15:36,[問題] 請問各位如何看黃金基金,推,黃金只是一種標的，用途不大，不建議買他漲又漲不多，逃跟逃命一樣說錯，漲又漲不快，跌起來快的跟什麼一樣
主文,tudaer (桂圓爸爸),2022/2/28 07:08,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,無,"1.原文連結：

https://www.reuters.com/business/russian-cbank-orders-block-foreign-clients-
bids-sell-russian-securities-document-2022-02-27/

2.內容：
MOSCOW, Feb 28 (Reuters) - The Russian central bank has ordered market
players to reject foreign clients' bids to sell Russian securities from 0400
GMT on Monday, according to a central bank document seen by Reuters.

The bank did not reply to a Reuters request for comment.

簡略翻譯：
俄羅斯央行於 04:00 (GMT) 命令市場參與者們拒絕國外客戶賣出俄羅斯證券
這份文件是來自央行文件並且是 Reuters 實際看到的資料
目前俄羅斯央行沒有回覆 Reuters 的詢問

心得：
極權國家有極權國家的玩法，這比前年期貨關廁所屠殺有得比

"
回覆,eno4022,2022/2/28 07:10,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,無,中國抗議：不要學我
回覆,tudaer,2022/2/28 07:10,中國抗議：不要學我,推,海綿寶寶血流成河圖支援
回覆,Q00863,2022/2/28 10:31,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,推,這跟禁止放空有點像
回覆,falconer,2022/2/28 10:34,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,推,https://tinyurl.com/ydd4x2tp
回覆,icelaw,2022/2/28 11:21,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,推,炒底俄股的被關廁所 CC抄底俄股的被關廁所 CC
回覆,jimmyfk,2022/2/28 13:51,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,推,被長期投資...
回覆,busgoer,2022/2/28 16:19,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,推,瑞銀(盧森堡)-俄羅斯股票基金(美元)這檔在鉅亨暫停申購，但似乎可以買回，是因為這件事情嗎？
回覆,yamitis,2022/2/28 18:12,[新聞] 俄羅斯央行要求市場不許外國客戶賣出證券,推,國人比重過高吧，台灣人最愛抄底了
主文,tudaer (桂圓爸爸),2022/2/27 20:40,[新聞] 快訊／美英歐聯合聲明：未來幾天將把俄쌱,無,"https://www.ettoday.net/news/20220227/2197406.htm

2.內容：

歐盟、法國、德國、義大利、英國、加拿大和美國，26日晚間發表聯合聲明，共同譴責俄羅斯入侵烏克蘭的行動，並承諾將選定的數間俄羅斯銀行逐出環球銀行金融電信協會（SWIFT），相關措施將會在未來幾天內宣布。

BBC報導，聯合聲明中指出俄羅斯入侵烏克蘭，西方盟國將會繼續針對俄羅斯祭出制裁，結果會導致俄羅斯在國際金融和西方金融體系中更加孤立，未來幾天內將會制定出的制裁內容，包括把選定的數間俄羅斯銀行從SWIFT系統中移出。

聲明表示，「這將確保這些銀行會和國際金融體系斷鏈，並損害他們在全球的營運。」

SWIFT是全球運作的金融支付系統，能用即時且順暢地在國際間轉移資金。

心得：
抄底俄羅斯的會不會瑟瑟發抖
俄羅斯基金會不會變成骨灰呢

"
