日期,更改%,三日平均
2021-09-01,-0.09%,0.51%
2021-09-02,-0.88%,-0.14%
2021-09-03,1.14%,0.06%
2021-09-04,1.14%,0.47%
2021-09-05,1.14%,1.14%
2021-09-06,-0.12%,0.72%
2021-09-07,-0.38%,0.21%
2021-09-08,-0.91%,-0.47%
2021-09-09,0.20%,-0.36%
2021-09-10,0.98%,0.09%
2021-09-11,0.98%,0.72%
2021-09-12,0.98%,0.98%
2021-09-13,-0.16%,0.60%
2021-09-14,-0.07%,0.25%
2021-09-15,-0.46%,-0.23%
2021-09-16,-0.43%,-0.32%
2021-09-17,-0.01%,-0.30%
2021-09-18,-0.01%,-0.15%
2021-09-19,-0.01%,-0.01%
2021-09-20,-0.01%,-0.01%
2021-09-21,-0.01%,-0.01%
2021-09-22,-2.03%,-0.68%
2021-09-23,0.90%,-0.38%
2021-09-24,1.07%,-0.02%
2021-09-25,1.07%,1.01%
2021-09-26,1.07%,1.07%
2021-09-27,0.31%,0.82%
2021-09-28,-0.76%,0.21%
2021-09-29,-1.90%,-0.78%
2021-09-30,0.47%,-0.73%
2021-10-01,-2.15%,-1.19%
2021-10-02,-2.15%,-1.28%
2021-10-03,-2.15%,-2.15%
2021-10-04,-0.98%,-1.76%
2021-10-05,0.32%,-0.94%
2021-10-06,-0.41%,-0.36%
2021-10-07,1.96%,0.62%
2021-10-08,-0.44%,0.37%
2021-10-09,-0.44%,0.36%
2021-10-10,-0.44%,-0.44%
2021-10-11,-0.44%,-0.44%
2021-10-12,-1.07%,-0.65%
2021-10-13,-0.70%,-0.74%
2021-10-14,0.24%,-0.51%
2021-10-15,2.40%,0.65%
2021-10-16,2.40%,1.68%
2021-10-17,2.40%,2.40%
2021-10-18,-0.45%,1.45%
2021-10-19,1.17%,1.04%
2021-10-20,-0.08%,0.21%
2021-10-21,0.01%,0.37%
2021-10-22,0.00%,-0.02%
2021-10-23,0.00%,0.00%
2021-10-24,0.00%,0.00%
2021-10-25,0.03%,0.01%
2021-10-26,0.83%,0.29%
2021-10-27,0.24%,0.37%
2021-10-28,-0.19%,0.29%
2021-10-29,-0.32%,-0.09%
2021-10-30,-0.32%,-0.28%
2021-10-31,-0.32%,-0.32%
2021-11-01,0.48%,-0.05%
2021-11-02,-0.01%,0.05%
2021-11-03,0.33%,0.27%
2021-11-04,-0.25%,0.02%
2021-11-05,1.28%,0.45%
2021-11-06,1.28%,0.77%
2021-11-07,1.28%,1.28%
2021-11-08,0.68%,1.08%
2021-11-09,0.72%,0.89%
2021-11-10,0.10%,0.50%
2021-11-11,-0.61%,0.07%
2021-11-12,0.38%,-0.04%
2021-11-13,0.38%,0.05%
2021-11-14,0.38%,0.38%
2021-11-15,0.66%,0.47%
2021-11-16,0.33%,0.46%
2021-11-17,0.40%,0.46%
2021-11-18,0.44%,0.39%
2021-11-19,-0.13%,0.24%
2021-11-20,-0.13%,0.06%
2021-11-21,-0.13%,-0.13%
2021-11-22,-0.08%,-0.11%
2021-11-23,-0.77%,-0.33%
2021-11-24,-0.13%,-0.33%
2021-11-25,0.07%,-0.28%
2021-11-26,-1.61%,-0.56%
2021-11-27,-1.61%,-1.05%
2021-11-28,-1.61%,-1.61%
2021-11-29,-0.24%,-1.15%
2021-11-30,0.58%,-0.42%
2021-12-01,0.91%,0.42%
2021-12-02,0.79%,0.76%
2021-12-03,-0.16%,0.51%
2021-12-04,-0.16%,0.16%
2021-12-05,-0.16%,-0.16%
2021-12-06,-0.05%,-0.12%
