日期,更改%數,三日平均
2021-09-01,-2.90%,-0.015533333
2021-09-02,-0.65%,-0.014066667
2021-09-03,2.17%,-0.0046
2021-09-04,2.17%,0.0123
2021-09-05,0.37%,0.0157
2021-09-06,-1.74%,0.002666667
2021-09-07,4.04%,0.0089
2021-09-08,-0.35%,0.0065
2021-09-09,3.23%,0.023066667
2021-09-10,6.47%,0.031166667
2021-09-11,6.47%,0.0539
2021-09-12,6.47%,0.0647
2021-09-13,-6.43%,0.0217
2021-09-14,2.16%,0.007333333
2021-09-15,0.38%,-0.012966667
2021-09-16,3.87%,0.021366667
2021-09-17,6.72%,0.036566667
2021-09-18,6.72%,0.0577
2021-09-19,6.72%,0.0672
2021-09-20,11.51%,0.083166667
2021-09-21,-4.22%,0.0467
2021-09-22,-5.68%,0.005366667
2021-09-23,-6.79%,-0.055633333
2021-09-24,-3.79%,-0.0542
2021-09-25,-3.79%,-0.0479
2021-09-26,-3.79%,-0.0379
2021-09-27,1.46%,-0.0204
2021-09-28,11.98%,0.032166667
2021-09-29,2.10%,0.0518
2021-09-30,-0.54%,0.045133333
2021-10-01,-3.82%,-0.007533333
2021-10-02,-3.82%,-0.027266667
2021-10-03,-3.82%,-0.0382
2021-10-04,3.12%,-0.015066667
2021-10-05,-4.09%,-0.015966667
2021-10-06,-2.47%,-0.011466667
2021-10-07,-5.26%,-0.0394
2021-10-08,-1.91%,-0.032133333
2021-10-09,-1.91%,-0.030266667
2021-10-10,-1.91%,-0.0191
2021-10-11,2.20%,-0.0054
2021-10-12,-2.15%,-0.0062
2021-10-13,-2.87%,-0.0094
2021-10-14,-8.09%,-0.0437
2021-10-15,-2.44%,-0.044666667
2021-10-16,-2.44%,-0.043233333
2021-10-17,-2.44%,-0.0244
2021-10-18,-3.23%,-0.027033333
2021-10-19,-3.93%,-0.032
2021-10-20,-3.85%,-0.0367
2021-10-21,21.81%,0.046766667
2021-10-22,2.16%,0.067066667
2021-10-23,2.16%,0.0871
2021-10-24,2.16%,0.0216
2021-10-25,-2.89%,0.004766667
2021-10-26,2.02%,0.0043
2021-10-27,2.25%,0.0046
2021-10-28,-3.61%,0.0022
2021-10-29,0.69%,-0.002233333
2021-10-30,0.69%,-0.007433333
2021-10-31,0.69%,0.0069
2021-11-01,-2.02%,-0.002133333
2021-11-02,-2.99%,-0.0144
2021-11-03,-4.16%,-0.030566667
2021-11-04,1.73%,-0.018066667
2021-11-05,5.95%,0.011733333
2021-11-06,5.95%,0.045433333
2021-11-07,5.95%,0.0595
2021-11-08,0.30%,0.040666667
2021-11-09,2.19%,0.028133333
2021-11-10,3.32%,0.019366667
2021-11-11,-3.93%,0.005266667
2021-11-12,-7.15%,-0.025866667
2021-11-13,-7.15%,-0.060766667
2021-11-14,-7.15%,-0.0715
2021-11-15,-2.39%,-0.055633333
2021-11-16,-1.19%,-0.035766667
2021-11-17,-2.73%,-0.021033333
2021-11-18,25.46%,0.0718
2021-11-19,1.46%,0.080633333
2021-11-20,1.46%,0.0946
2021-11-21,1.46%,0.0146
2021-11-22,1.70%,0.0154
2021-11-23,-2.79%,0.001233333
2021-11-24,-1.05%,-0.007133333
2021-11-25,0.65%,-0.010633333
2021-11-26,29.60%,0.097333333
2021-11-27,29.60%,0.1995
2021-11-28,29.60%,0.296
2021-11-29,-16.34%,0.142866667
2021-11-30,15.68%,0.096466667
2021-12-01,8.35%,0.025633333
2021-12-02,-6.80%,0.057433333
2021-12-03,10.76%,0.041033333
2021-12-04,10.76%,0.049066667
2021-12-05,10.76%,0.1076
2021-12-06,-10.02%,0.038333333
2021-12-07,-12.80%,-0.0402
2021-12-08,-7.62%,-0.101466667
2021-12-09,3.56%,-0.0562
2021-12-10,-8.21%,-0.0409
2021-12-11,-8.21%,-0.042866667
2021-12-12,-8.21%,-0.0821
2021-12-13,3.97%,-0.0415
2021-12-14,3.41%,-0.002766667
2021-12-15,-10.38%,-0.01
2021-12-16,7.06%,0.0003
2021-12-17,3.17%,-0.0005
2021-12-18,3.17%,0.044666667
2021-12-19,3.17%,0.0317
2021-12-20,8.26%,0.048666667
2021-12-21,-7.61%,0.012733333
2021-12-22,-1.15%,-0.001666667
2021-12-23,3.95%,-0.016033333
