fund,publishAt,positive,negative
NN (L) 亞洲債券基金,2021-10-25,0,0
NN (L) 亞洲債券基金,2021-11-02,0,0
NN (L) 亞洲債券基金,2022-02-25,0,0
NN (L) 亞洲收益基金,2021-08-19,23,7
NN (L) 亞洲收益基金,2021-08-20,116,30
NN (L) 亞洲收益基金,2021-08-21,12,0
NN (L) 亞洲收益基金,2021-08-22,14,16
NN (L) 亞洲收益基金,2021-08-23,77,66
NN (L) 亞洲收益基金,2021-08-24,164,63
NN (L) 亞洲收益基金,2021-08-25,214,114
NN (L) 亞洲收益基金,2021-08-26,182,48
NN (L) 亞洲收益基金,2021-08-27,143,53
NN (L) 亞洲收益基金,2021-08-28,40,8
NN (L) 亞洲收益基金,2021-08-29,44,21
NN (L) 亞洲收益基金,2021-08-30,136,24
NN (L) 亞洲收益基金,2021-08-31,111,32
NN (L) 亞洲收益基金,2021-09-01,153,43
NN (L) 亞洲收益基金,2021-09-02,158,95
NN (L) 亞洲收益基金,2021-09-03,169,108
NN (L) 亞洲收益基金,2021-09-04,23,10
NN (L) 亞洲收益基金,2021-09-05,19,38
NN (L) 亞洲收益基金,2021-09-06,113,91
NN (L) 亞洲收益基金,2021-09-07,75,40
NN (L) 亞洲收益基金,2021-09-08,85,29
NN (L) 亞洲收益基金,2021-09-09,100,48
NN (L) 亞洲收益基金,2021-09-10,47,31
NN (L) 亞洲收益基金,2021-09-11,19,8
NN (L) 亞洲收益基金,2021-09-12,22,51
NN (L) 亞洲收益基金,2021-09-13,63,84
NN (L) 亞洲收益基金,2021-09-14,126,44
NN (L) 亞洲收益基金,2021-09-15,134,64
NN (L) 亞洲收益基金,2021-09-16,131,56
NN (L) 亞洲收益基金,2021-09-17,71,29
NN (L) 亞洲收益基金,2021-09-18,13,0
NN (L) 亞洲收益基金,2021-09-19,27,4
NN (L) 亞洲收益基金,2021-09-20,61,14
NN (L) 亞洲收益基金,2021-09-21,25,15
NN (L) 亞洲收益基金,2021-09-22,139,48
NN (L) 亞洲收益基金,2021-09-23,115,83
NN (L) 亞洲收益基金,2021-09-24,110,16
NN (L) 亞洲收益基金,2021-09-25,14,13
NN (L) 亞洲收益基金,2021-09-26,6,17
NN (L) 亞洲收益基金,2021-09-27,98,79
NN (L) 亞洲收益基金,2021-09-28,100,27
NN (L) 亞洲收益基金,2021-09-29,138,69
NN (L) 亞洲收益基金,2021-09-30,129,54
NN (L) 亞洲收益基金,2021-10-01,99,43
NN (L) 亞洲收益基金,2021-10-02,21,1
NN (L) 亞洲收益基金,2021-10-03,57,9
NN (L) 亞洲收益基金,2021-10-04,169,59
NN (L) 亞洲收益基金,2021-10-05,178,88
NN (L) 亞洲收益基金,2021-10-06,117,89
NN (L) 亞洲收益基金,2021-10-07,116,74
NN (L) 亞洲收益基金,2021-10-08,61,16
NN (L) 亞洲收益基金,2021-10-09,34,6
NN (L) 亞洲收益基金,2021-10-10,0,0
NN (L) 亞洲收益基金,2021-10-11,0,0
NN (L) 亞洲收益基金,2021-10-12,10,6
NN (L) 亞洲收益基金,2021-10-13,0,0
NN (L) 亞洲收益基金,2021-10-14,0,0
NN (L) 亞洲收益基金,2021-10-15,9,2
NN (L) 亞洲收益基金,2021-10-16,0,0
