fund,publishAt,positive,negative
安本標準 - 世界資源股票基金,2021-08-20,0,0
安本標準 - 世界資源股票基金,2021-08-21,0,0
安本標準 - 世界資源股票基金,2021-08-24,0,0
安本標準 - 世界資源股票基金,2021-08-25,0,0
安本標準 - 世界資源股票基金,2021-09-18,0,0
安本標準 - 世界資源股票基金,2021-09-20,0,0
安本標準 - 世界資源股票基金,2021-09-22,0,0
安本標準 - 世界資源股票基金,2021-10-15,0,0
安本標準 - 世界資源股票基金,2021-10-22,0,0
安本標準 - 世界資源股票基金,2021-10-26,0,0
安本標準 - 世界資源股票基金,2021-11-24,0,0
安本標準 - 世界資源股票基金,2021-12-01,0,0
安本標準 - 世界資源股票基金,2021-12-22,0,0
安本標準 - 世界資源股票基金,2021-12-23,0,0
安本標準 - 世界資源股票基金,2021-12-31,0,0
安本標準 - 世界資源股票基金,2022-01-11,0,0
安本標準 - 世界資源股票基金,2022-01-21,0,0
安本標準 - 世界資源股票基金,2022-02-09,0,0
安本標準 - 世界資源股票基金,2022-02-14,0,0
安本標準 - 世界資源股票基金,2022-02-24,0,0
安本標準 - 世界資源股票基金,2022-03-01,0,0
安本標準 - 亞太股票基金,2021-08-20,0,0
安本標準 - 亞太股票基金,2021-08-21,0,0
安本標準 - 亞太股票基金,2021-08-24,0,0
安本標準 - 亞太股票基金,2021-08-25,0,0
安本標準 - 亞太股票基金,2021-09-01,0,0
安本標準 - 亞太股票基金,2021-09-18,0,0
安本標準 - 亞太股票基金,2021-09-29,11,4
安本標準 - 亞太股票基金,2021-10-01,5,0
安本標準 - 亞太股票基金,2021-10-05,20,0
安本標準 - 亞太股票基金,2021-10-07,5,0
安本標準 - 亞太股票基金,2021-10-13,0,0
安本標準 - 亞太股票基金,2021-10-15,0,0
安本標準 - 亞太股票基金,2021-10-20,0,0
安本標準 - 亞太股票基金,2021-10-21,0,0
安本標準 - 亞太股票基金,2021-11-19,0,0
安本標準 - 亞太股票基金,2021-12-09,0,0
安本標準 - 亞太股票基金,2021-12-14,0,0
安本標準 - 亞太股票基金,2021-12-16,0,0
安本標準 - 亞太股票基金,2021-12-17,0,0
安本標準 - 亞太股票基金,2021-12-20,0,0
安本標準 - 亞太股票基金,2021-12-22,0,0
安本標準 - 亞太股票基金,2021-12-23,0,0
安本標準 - 亞太股票基金,2021-12-29,0,0
安本標準 - 亞太股票基金,2021-12-30,0,0
安本標準 - 亞太股票基金,2021-12-31,0,0
安本標準 - 亞太股票基金,2022-01-04,0,0
安本標準 - 亞太股票基金,2022-01-06,0,0
安本標準 - 亞太股票基金,2022-01-11,0,0
安本標準 - 亞太股票基金,2022-01-12,0,0
安本標準 - 亞太股票基金,2022-01-18,0,0
安本標準 - 亞太股票基金,2022-01-19,0,0
安本標準 - 亞太股票基金,2022-01-20,0,0
安本標準 - 亞太股票基金,2022-01-21,0,0
安本標準 - 亞太股票基金,2022-01-24,0,0
安本標準 - 亞太股票基金,2022-01-25,0,0
安本標準 - 亞太股票基金,2022-02-09,0,0
安本標準 - 亞太股票基金,2022-02-10,0,0
安本標準 - 亞太股票基金,2022-02-14,0,0
安本標準 - 亞太股票基金,2022-02-16,0,0
安本標準 - 亞太股票基金,2022-02-17,0,0
安本標準 - 亞洲小型公司基金,2021-09-04,0,0
安本標準 - 亞洲小型公司基金,2021-09-16,0,0
安本標準 - 亞洲小型公司基金,2022-02-16,0,0
安本標準 - 印度股票基金,2021-10-15,0,0
安本標準 - 印度股票基金,2021-10-26,0,0
安本標準 - 印度股票基金,2022-01-28,0,0
安本標準 - 印度股票基金,2022-02-10,0,0
