fund,publishAt,positive,negative
晉達環球策略基金-亞洲股票基金,2021-08-24,1,0
晉達環球策略基金-亞洲股票基金,2021-08-25,0,2
晉達環球策略基金-亞洲股票基金,2021-09-01,14,4
晉達環球策略基金-亞洲股票基金,2021-09-18,0,0
晉達環球策略基金-亞洲股票基金,2021-09-29,0,0
晉達環球策略基金-亞洲股票基金,2021-10-01,1,0
晉達環球策略基金-亞洲股票基金,2021-10-05,19,19
晉達環球策略基金-亞洲股票基金,2021-10-07,0,1
晉達環球策略基金-亞洲股票基金,2021-10-13,0,0
晉達環球策略基金-亞洲股票基金,2021-10-15,0,0
晉達環球策略基金-亞洲股票基金,2021-10-20,0,0
晉達環球策略基金-亞洲股票基金,2021-10-21,0,0
晉達環球策略基金-亞洲股票基金,2021-11-11,0,0
晉達環球策略基金-亞洲股票基金,2021-11-19,0,0
晉達環球策略基金-亞洲股票基金,2021-12-09,0,0
晉達環球策略基金-亞洲股票基金,2021-12-14,0,0
晉達環球策略基金-亞洲股票基金,2021-12-16,0,0
晉達環球策略基金-亞洲股票基金,2021-12-17,0,0
晉達環球策略基金-亞洲股票基金,2021-12-20,0,0
晉達環球策略基金-亞洲股票基金,2021-12-23,0,0
晉達環球策略基金-亞洲股票基金,2021-12-29,0,0
晉達環球策略基金-亞洲股票基金,2021-12-30,0,0
晉達環球策略基金-亞洲股票基金,2021-12-31,0,0
晉達環球策略基金-亞洲股票基金,2022-01-04,0,0
晉達環球策略基金-亞洲股票基金,2022-01-06,0,0
晉達環球策略基金-亞洲股票基金,2022-01-12,0,0
晉達環球策略基金-亞洲股票基金,2022-01-18,0,0
晉達環球策略基金-亞洲股票基金,2022-01-19,0,0
晉達環球策略基金-亞洲股票基金,2022-01-20,0,0
晉達環球策略基金-亞洲股票基金,2022-01-21,0,0
晉達環球策略基金-亞洲股票基金,2022-01-24,0,0
晉達環球策略基金-亞洲股票基金,2022-01-25,0,0
晉達環球策略基金-亞洲股票基金,2022-02-09,0,0
晉達環球策略基金-亞洲股票基金,2022-02-10,0,0
晉達環球策略基金-亞洲股票基金,2022-02-14,0,0
晉達環球策略基金-亞洲股票基金,2022-02-16,0,0
晉達投資評級公司債券基金,2021-08-19,0,0
晉達投資評級公司債券基金,2021-08-20,0,0
晉達投資評級公司債券基金,2021-08-23,5,1
晉達投資評級公司債券基金,2021-08-24,17,1
晉達投資評級公司債券基金,2021-08-25,1,6
晉達投資評級公司債券基金,2021-08-26,6,0
晉達投資評級公司債券基金,2021-08-27,11,9
晉達投資評級公司債券基金,2021-08-30,13,13
晉達投資評級公司債券基金,2021-09-01,51,46
晉達投資評級公司債券基金,2021-09-02,43,7
晉達投資評級公司債券基金,2021-09-03,11,12
晉達投資評級公司債券基金,2021-09-06,3,5
晉達投資評級公司債券基金,2021-09-07,18,9
晉達投資評級公司債券基金,2021-09-08,27,12
晉達投資評級公司債券基金,2021-09-09,16,31
晉達投資評級公司債券基金,2021-09-10,19,4
晉達投資評級公司債券基金,2021-09-11,11,3
晉達投資評級公司債券基金,2021-09-12,27,18
晉達投資評級公司債券基金,2021-09-13,23,23
晉達投資評級公司債券基金,2021-09-14,4,6
晉達投資評級公司債券基金,2021-09-15,9,6
晉達投資評級公司債券基金,2021-09-16,23,17
晉達投資評級公司債券基金,2021-09-17,20,8
晉達投資評級公司債券基金,2021-09-20,5,1
晉達投資評級公司債券基金,2021-09-21,9,5
晉達投資評級公司債券基金,2021-09-22,14,4
晉達投資評級公司債券基金,2021-09-23,38,12
晉達投資評級公司債券基金,2021-09-24,59,3
晉達投資評級公司債券基金,2021-09-25,9,12
