fund,publishAt,positive,negative
瑞銀(盧森堡)中國精選股票基金,2021-08-19,4,1
瑞銀(盧森堡)中國精選股票基金,2021-08-20,23,10
瑞銀(盧森堡)中國精選股票基金,2021-08-21,0,0
瑞銀(盧森堡)中國精選股票基金,2021-08-22,8,0
瑞銀(盧森堡)中國精選股票基金,2021-08-23,16,18
瑞銀(盧森堡)中國精選股票基金,2021-08-24,17,9
瑞銀(盧森堡)中國精選股票基金,2021-08-25,31,14
瑞銀(盧森堡)中國精選股票基金,2021-08-26,28,8
瑞銀(盧森堡)中國精選股票基金,2021-08-27,7,3
瑞銀(盧森堡)中國精選股票基金,2021-08-29,3,3
瑞銀(盧森堡)中國精選股票基金,2021-08-30,15,4
瑞銀(盧森堡)中國精選股票基金,2021-08-31,44,11
瑞銀(盧森堡)中國精選股票基金,2021-09-01,11,17
瑞銀(盧森堡)中國精選股票基金,2021-09-02,9,29
瑞銀(盧森堡)中國精選股票基金,2021-09-03,8,0
瑞銀(盧森堡)中國精選股票基金,2021-09-04,38,4
瑞銀(盧森堡)中國精選股票基金,2021-09-05,12,14
瑞銀(盧森堡)中國精選股票基金,2021-09-06,8,18
瑞銀(盧森堡)中國精選股票基金,2021-09-07,6,6
瑞銀(盧森堡)中國精選股票基金,2021-09-08,53,17
瑞銀(盧森堡)中國精選股票基金,2021-09-09,36,39
瑞銀(盧森堡)中國精選股票基金,2021-09-10,11,8
瑞銀(盧森堡)中國精選股票基金,2021-09-11,1,0
瑞銀(盧森堡)中國精選股票基金,2021-09-12,1,9
瑞銀(盧森堡)中國精選股票基金,2021-09-13,12,11
瑞銀(盧森堡)中國精選股票基金,2021-09-14,1,0
瑞銀(盧森堡)中國精選股票基金,2021-09-15,18,2
瑞銀(盧森堡)中國精選股票基金,2021-09-16,18,6
瑞銀(盧森堡)中國精選股票基金,2021-09-17,10,1
瑞銀(盧森堡)中國精選股票基金,2021-09-20,23,5
瑞銀(盧森堡)中國精選股票基金,2021-09-21,11,7
瑞銀(盧森堡)中國精選股票基金,2021-09-22,12,14
瑞銀(盧森堡)中國精選股票基金,2021-09-23,18,1
瑞銀(盧森堡)中國精選股票基金,2021-09-24,8,0
瑞銀(盧森堡)中國精選股票基金,2021-09-26,9,9
瑞銀(盧森堡)中國精選股票基金,2021-09-27,24,4
瑞銀(盧森堡)中國精選股票基金,2021-09-28,27,16
瑞銀(盧森堡)中國精選股票基金,2021-09-29,19,1
瑞銀(盧森堡)中國精選股票基金,2021-09-30,22,8
瑞銀(盧森堡)中國精選股票基金,2021-10-03,5,2
瑞銀(盧森堡)中國精選股票基金,2021-10-04,27,10
瑞銀(盧森堡)中國精選股票基金,2021-10-05,80,18
瑞銀(盧森堡)中國精選股票基金,2021-10-06,8,28
瑞銀(盧森堡)中國精選股票基金,2021-10-07,36,10
瑞銀(盧森堡)中國精選股票基金,2021-10-08,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-10,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-11,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-12,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-13,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-14,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-15,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-17,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-18,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-19,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-20,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-21,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-22,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-24,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-25,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-26,0,0
瑞銀(盧森堡)中國精選股票基金,2021-10-27,0,0
