fund,publishAt,positive,negative
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-08-24,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-09-01,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-09-08,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-09-17,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-09-22,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-04,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-06,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-08,9,1
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-13,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-14,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-18,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-28,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-10-30,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-11-01,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-11-06,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-11-09,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-11-11,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-11-18,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-11-22,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-01,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-02,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-06,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-10,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-23,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-28,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2021-12-30,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-01,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-05,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-06,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-07,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-09,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-12,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-19,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-20,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-01-25,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-01,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-07,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-09,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-11,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-15,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-17,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-18,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-02-19,0,0
野村基金(愛爾蘭系列) - 日本策略價值基金,2022-03-01,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-08-20,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-08-27,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-08-29,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-01,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-07,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-09,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-10,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-13,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-15,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-18,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-21,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-24,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-09-28,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-01,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-07,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-09,3,8
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-20,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-22,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-24,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-25,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-10-27,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-11-01,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-11-02,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-11-08,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-11-11,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-11-17,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-12-01,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-12-02,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2021-12-21,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-01-03,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-01-04,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-01-06,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-01-07,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-01-20,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-01-27,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-03,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-08,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-10,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-11,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-12,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-15,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-16,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-18,0,0
野村基金(愛爾蘭系列)-全球永續高收益債券基金,2022-02-23,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-08-20,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-08-27,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-08-29,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-01,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-07,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-09,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-10,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-13,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-15,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-18,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-21,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-24,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-09-28,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-01,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-07,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-09,3,8
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-20,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-22,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-24,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-25,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-10-27,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-01,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-02,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-08,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-09,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-11,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-17,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-18,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-11-23,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-12-01,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-12-02,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-12-06,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-12-07,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-12-14,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2021-12-21,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-03,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-04,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-05,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-06,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-07,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-20,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-01-27,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-02-03,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-02-08,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-02-10,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-02-11,0,0
野村基金(愛爾蘭系列)-美國高收益債券基金,2022-02-12,0,0
