fund,publishAt,positive,negative
鋒裕匯理基金環球高收益債券,2021-08-20,0,0
鋒裕匯理基金環球高收益債券,2021-08-27,0,0
鋒裕匯理基金環球高收益債券,2021-08-29,0,0
鋒裕匯理基金環球高收益債券,2021-09-01,0,0
鋒裕匯理基金環球高收益債券,2021-09-07,0,0
鋒裕匯理基金環球高收益債券,2021-09-09,0,0
鋒裕匯理基金環球高收益債券,2021-09-10,0,0
鋒裕匯理基金環球高收益債券,2021-09-13,0,0
鋒裕匯理基金環球高收益債券,2021-09-15,0,0
鋒裕匯理基金環球高收益債券,2021-09-18,0,0
鋒裕匯理基金環球高收益債券,2021-09-21,0,0
鋒裕匯理基金環球高收益債券,2021-09-24,0,3
鋒裕匯理基金環球高收益債券,2021-09-28,12,14
鋒裕匯理基金環球高收益債券,2021-10-01,5,2
鋒裕匯理基金環球高收益債券,2021-10-07,0,0
鋒裕匯理基金環球高收益債券,2021-10-09,2,0
鋒裕匯理基金環球高收益債券,2021-10-20,0,0
鋒裕匯理基金環球高收益債券,2021-10-22,0,0
鋒裕匯理基金環球高收益債券,2021-10-24,0,0
鋒裕匯理基金環球高收益債券,2021-10-25,0,0
鋒裕匯理基金環球高收益債券,2021-10-27,0,0
鋒裕匯理基金環球高收益債券,2021-11-01,0,0
鋒裕匯理基金環球高收益債券,2021-11-02,0,0
鋒裕匯理基金環球高收益債券,2021-11-08,0,0
鋒裕匯理基金環球高收益債券,2021-11-11,0,0
鋒裕匯理基金環球高收益債券,2021-11-17,0,0
鋒裕匯理基金環球高收益債券,2021-12-01,0,0
鋒裕匯理基金環球高收益債券,2021-12-02,0,0
鋒裕匯理基金環球高收益債券,2022-01-03,0,0
鋒裕匯理基金環球高收益債券,2022-01-04,0,0
鋒裕匯理基金環球高收益債券,2022-01-06,0,0
鋒裕匯理基金環球高收益債券,2022-01-07,0,0
鋒裕匯理基金環球高收益債券,2022-01-20,0,0
鋒裕匯理基金環球高收益債券,2022-01-27,0,0
鋒裕匯理基金環球高收益債券,2022-02-03,0,0
鋒裕匯理基金環球高收益債券,2022-02-08,0,0
鋒裕匯理基金環球高收益債券,2022-02-10,0,0
鋒裕匯理基金環球高收益債券,2022-02-11,0,0
鋒裕匯理基金環球高收益債券,2022-02-12,0,0
鋒裕匯理基金環球高收益債券,2022-02-15,0,0
鋒裕匯理基金環球高收益債券,2022-02-16,0,0
鋒裕匯理基金環球高收益債券,2022-02-18,0,0
鋒裕匯理基金環球高收益債券,2022-02-23,0,0
鋒裕匯理基金新興市場債券,2021-10-26,0,0
鋒裕匯理基金新興市場債券,2021-11-30,0,0
鋒裕匯理基金新興市場債券,2021-12-13,0,0
鋒裕匯理基金新興市場債券,2021-12-29,0,0
鋒裕匯理基金新興市場債券,2022-02-25,0,0
鋒裕匯理基金歐洲小型股票 鋒裕匯理基金新興歐洲及地中海股票 ,2021-09-27,5,4
