fund,publishAt,positive,negative
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-19,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-20,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-21,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-23,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-24,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-25,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-26,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-27,0,2
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-30,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-08-31,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-01,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-02,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-03,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-04,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-07,7,1
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-08,19,4
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-09,4,4
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-10,10,12
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-13,12,1
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-14,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-15,18,19
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-16,13,13
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-17,13,31
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-20,2,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-21,55,28
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-22,23,5
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-23,28,6
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-24,0,2
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-27,30,18
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-28,22,5
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-29,18,4
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-09-30,15,3
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-01,23,2
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-04,28,35
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-05,9,24
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-06,50,53
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-07,35,11
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-08,6,1
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-11,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-12,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-13,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-14,0,0
駿利亨德森資產管理基金 - 駿利亨德森平衡基金 ,2021-10-15,0,0
